satellite_img_name,BD09 coordinate,WGS84 coordinate,carbon_emissions (ton),population (unit),gdp (million yuan)
Guangzhou/19_98363_20374_s.jpg,"(12590464.0, 2607872.0)","(22.93926719574342, 113.10083180952186)",376.90344,2911,1838.97
Shanghai/19_105321_28257_s.jpg,"(13481088.0, 3616896.0)","(31.049171913552197, 121.10135628915688)",332.78357,244,220.65024
Shanghai/19_105321_28184_s.jpg,"(13481088.0, 3607552.0)","(30.9768730219376, 121.10135628915688)",168.61,767,526.4488
Beijing/19_100918_37527_s.jpg,"(12917504.0, 4803456.0)","(39.759399347755625, 116.03865016380273)",214.46393,898,6083.496
Guangzhou/19_98364_20634_s.jpg,"(12590592.0, 2641152.0)","(23.215885240690056, 113.10198164057425)",516.61053,1530,32582.518
Shenzhen/19_98928_20020_s.jpg,"(12662784.0, 2562560.0)","(22.56172111295806, 113.75048635412332)",0.0,0,0
Guangzhou/19_98363_20376_s.jpg,"(12590464.0, 2608128.0)","(22.941397220138445, 113.10083180952186)",376.90344,8591,1838.97
Shenzhen/19_99090_19948_s.jpg,"(12683520.0, 2553344.0)","(22.484803325062497, 113.93675898461082)",767.2769,2884,10000.0
Shenzhen/19_99295_20202_s.jpg,"(12709760.0, 2585856.0)","(22.755958538672562, 114.17247435035117)",802.1719,3407,11560.396
Beijing/19_101339_37702_s.jpg,"(12971392.0, 4825856.0)","(39.91453129709174, 116.52272903701966)",1550.4631,12338,10000.0
Shanghai/19_105321_28359_s.jpg,"(13481088.0, 3629952.0)","(31.150099437054077, 121.10135628915688)",1081.5815,9361,45977.76
Shanghai/19_105321_28254_s.jpg,"(13481088.0, 3616512.0)","(31.046201817842928, 121.10135628915688)",332.78357,244,185.8915
Guangzhou/19_98363_20383_s.jpg,"(12590464.0, 2609024.0)","(22.948852038531506, 113.10083180952186)",549.1081,8591,10056.553
Shanghai/19_105321_28187_s.jpg,"(13481088.0, 3607936.0)","(30.97984530044373, 121.10135628915688)",168.61,767,526.4488
Beijing/19_100918_37681_s.jpg,"(12917504.0, 4823168.0)","(39.89593411535974, 116.03865016380273)",113.8814,160,237.56062
Guangzhou/19_98363_20377_s.jpg,"(12590464.0, 2608256.0)","(22.942462219623078, 113.10083180952186)",549.1081,8591,1838.97
Beijing/19_100918_37529_s.jpg,"(12917504.0, 4803712.0)","(39.76117427935554, 116.03865016380273)",214.46393,898,6083.496
Shenzhen/19_98930_20222_s.jpg,"(12663040.0, 2588416.0)","(22.777286330611428, 113.7527860162281)",915.7931,8165,32225.873
Shanghai/19_105321_28186_s.jpg,"(13481088.0, 3607808.0)","(30.978854551329444, 121.10135628915688)",168.61,767,526.4488
Beijing/19_100918_37659_s.jpg,"(12917504.0, 4820352.0)","(39.8764458962152, 116.03865016380273)",92.20341,390,2697.0251
Guangzhou/19_98363_20382_s.jpg,"(12590464.0, 2608896.0)","(22.947787089905344, 113.10083180952186)",549.1081,8591,10056.553
Beijing/19_100918_37556_s.jpg,"(12917504.0, 4807168.0)","(39.78513134233295, 116.03865016380273)",118.22335,195,3097.3777
Shenzhen/19_99090_19947_s.jpg,"(12683520.0, 2553216.0)","(22.48373471760953, 113.93675898461082)",767.2769,2884,10000.0
Shenzhen/19_99295_20210_s.jpg,"(12709760.0, 2586880.0)","(22.7644900598649, 114.17247435035117)",441.09457,1277,3.7543235
